"ID_Réponse";"ID_Employé";"Q01";"Q02";"Q03";"Q04";"Q05";"Q06";"Q07";"Q08";"Q09";"Q10";"Q11";"Q12"
4826;"252";"Très satisfait";"Extrêmement bien";"Extrêmement rapidement";"Pas du tout longue";"Extrêmement bien";"La plupart d'entre elles";"Très poli";"Extrêmement compétent";"Très claires";"Très utile";"Très supérieure";
4827;"154";"Extrêmement satisfait";"Extrêmement bien";"Très rapidement";"Pas du tout longue";"Extrêmement bien";"Toutes";"Très poli";"Très compétent";"Très claires";"Extrêmement utile";"Très supérieure";
4828;"252";"Très satisfait";"Extrêmement bien";"Extrêmement rapidement";"Peu longue";"Très bien";"La plupart d'entre elles";"Très poli";"Extrêmement compétent";"Extrêmement claires";"Très utile";"Assez supérieure";
4829;"031";"Très satisfait";"Très bien";"Très rapidement";"Pas du tout longue";"Très bien";"La plupart d'entre elles";"Très poli";"Très compétent";"Extrêmement claires";"Extrêmement utile";"Assez supérieure";
4830;"031";"Ni satisfait, ni insatisfait";"Assez bien";"Assez lentement";"Assez longue";"Assez bien";"Quelques-unes";"Peu poli";"Assez compétent";"Assez claires";"Assez utile";"Assez supérieure";
4831;"252";"Extrêmement satisfait";"Extrêmement bien";"Très rapidement";"Peu longue";"Extrêmement bien";"La plupart d'entre elles";"Très poli";"Extrêmement compétent";"Très claires";"Très utile";"Très supérieure";
4832;"154";"Extrêmement satisfait";"Très bien";"Très rapidement";"Peu longue";"Très bien";"La plupart d'entre elles";"Extrêmement poli";"Extrêmement compétent";"Extrêmement claires";"Extrêmement utile";"Extrêmement supérieure";
4833;"252";"Très satisfait";"Extrêmement bien";"Extrêmement rapidement";"Pas du tout longue";"Extrêmement bien";"La plupart d'entre elles";"Très poli";"Très compétent";"Très claires";"Très utile";"Très supérieure";
4834;"031";"Extrêmement satisfait";"Extrêmement bien";"Très rapidement";"Peu longue";"Extrêmement bien";"Toutes";"Très poli";"Extrêmement compétent";"Extrêmement claires";"Extrêmement utile";"Très supérieure";
4835;"031";"Extrêmement satisfait";"Extrêmement bien";"Extrêmement rapidement";"Peu longue";"Très bien";"Toutes";"Très poli";"Très compétent";"Extrêmement claires";"Extrêmement utile";"Très supérieure";
4836;"164";"Extrêmement satisfait";"Extrêmement bien";"Extrêmement rapidement";"Pas du tout longue";"Extrêmement bien";"Toutes";"Extrêmement poli";"Extrêmement compétent";"Extrêmement claires";"Très utile";"Extrêmement supérieure";
4837;"164";"Extrêmement satisfait";"Extrêmement bien";"Extrêmement rapidement";"Peu longue";"Extrêmement bien";"La plupart d'entre elles";"Extrêmement poli";"Très compétent";"Très claires";"Très utile";"Extrêmement supérieure";
4838;"252";"Assez satisfait";"Très bien";"Assez rapidement";"Pas du tout longue";"Très bien";"Toutes";"Extrêmement poli";"Assez compétent";"Extrêmement claires";"Très utile";"Assez supérieure";
4839;"154";"Très satisfait";"Très bien";"Très rapidement";"Peu longue";"Très bien";"Toutes";"Extrêmement poli";"Extrêmement compétent";"Extrêmement claires";"Très utile";"Extrêmement supérieure";
4840;"031";"Assez satisfait";"Assez bien";"Très rapidement";"Peu longue";"Assez bien";"La plupart d'entre elles";"Très poli";"Extrêmement compétent";"Assez claires";"Assez utile";"Assez supérieure";
4841;"031";"Très insatisfait";"Pas très bien";"Extrêmement lentement";"Assez longue";"Pas très bien";"Environ la moitié";"Assez poli";"Peu compétent";"Pas du tout claires";"Assez utile";"Assez inférieure";
4842;"164";"Très satisfait";"Très bien";"Très rapidement";"Peu longue";"Extrêmement bien";"Toutes";"Très poli";"Très compétent";"Très claires";"Très utile";"Très supérieure";
4843;"154";"Extrêmement satisfait";"Très bien";"Très rapidement";"Pas du tout longue";"Extrêmement bien";"La plupart d'entre elles";"Extrêmement poli";"Extrêmement compétent";"Très claires";"Très utile";"Extrêmement supérieure";
4844;"252";"Extrêmement satisfait";"Extrêmement bien";"Extrêmement rapidement";"Pas du tout longue";"Très bien";"Toutes";"Très poli";"Extrêmement compétent";"Extrêmement claires";"Très utile";"Très supérieure";
4845;"031";"Ni satisfait, ni insatisfait";"Assez bien";"Assez rapidement";"Assez longue";"Assez bien";"Quelques-unes";"Peu poli";"Très compétent";"Très claires";"Assez utile";"Ni supérieure, ni inférieure";
4846;"031";"Très insatisfait";"Assez bien";"Assez lentement";"Très longue";"Pas très bien";"Environ la moitié";"Peu poli";"Pas du tout compétent";"Pas du tout claires";"Peu utile";"Très inférieure";
4847;"154";"Extrêmement satisfait";"Très bien";"Très rapidement";"Peu longue";"Extrêmement bien";"Toutes";"Très poli";"Extrêmement compétent";"Très claires";"Extrêmement utile";"Extrêmement supérieure";
4848;"031";"Assez satisfait";"Très bien";"Très rapidement";"Assez longue";"Très bien";"La plupart d'entre elles";"Assez poli";"Très compétent";"Assez claires";"Très utile";"Très supérieure";
4849;"164";"Assez satisfait";"Très bien";"Très rapidement";"Pas du tout longue";"Assez bien";"Environ la moitié";"Assez poli";"Très compétent";"Extrêmement claires";"Très utile";"Assez supérieure";
4850;"154";"Extrêmement satisfait";"Très bien";"Extrêmement rapidement";"Peu longue";"Extrêmement bien";"La plupart d'entre elles";"Très poli";"Extrêmement compétent";"Extrêmement claires";"Très utile";"Très supérieure";
4851;"031";"Extrêmement satisfait";"Très bien";"Très rapidement";"Peu longue";"Extrêmement bien";"La plupart d'entre elles";"Très poli";"Très compétent";"Extrêmement claires";"Extrêmement utile";"Très supérieure";
4852;"154";"Extrêmement satisfait";"Extrêmement bien";"Extrêmement rapidement";"Peu longue";"Très bien";"La plupart d'entre elles";"Très poli";"Extrêmement compétent";"Très claires";"Extrêmement utile";"Très supérieure";
4853;"252";"Très insatisfait";"Assez bien";"Très lentement";"Très longue";"Assez bien";"Quelques-unes";"Assez poli";"Peu compétent";"Assez claires";"Pas du tout utile";"Très inférieure";
4854;"031";"Extrêmement satisfait";"Extrêmement bien";"Très rapidement";"Peu longue";"Très bien";"Toutes";"Extrêmement poli";"Extrêmement compétent";"Extrêmement claires";"Extrêmement utile";"Extrêmement supérieure";
4855;"252";"Ni satisfait, ni insatisfait";"Assez bien";"Ni rapidement, ni lentement";"Assez longue";"Assez bien";"Environ la moitié";"Assez poli";"Assez compétent";"Très claires";"Assez utile";"Assez inférieure";
